Designator,Footprint,Quantity,Value,LCSC Part #
"BR1, BR2",MB10F13,2,MB10F-13,
C1,1206,1,0.1uF,
C10,1206,1,220uF,
C2,CP_Elec_5x5.4,1,47uF,
C3,1206,1,1uF,
C4,1206,1,2u2,
C5,1206,1,10nF,
C6,1206,1,2.2nF/2000V,
C7,1206,1,1nF,
"C8, C9",1206,2,22uF,
D1,D_SMA,1,SMAJ58A,
D2,D_SOD-323,1,BAV21,
D3,D_SOD-323,1,1N4148,
D4,D_PowerDI-5,1,SBR8U60P5,
"FB1, FB2",BLM31KN102BH1L,2,240R,
J1,PinSocket_2x03_P2.54mm_Vertical,1,Power Injector,
J2,PinSocket_2x02_P2.54mm_Vertical,1,PoE Header,
L1,L_Bourns_SRU5016_5.2x5.2mm,1,10uH 1A,
R1,1206,1,24.9k,
R2,1206,1,41.2,
R3,1206,1,52k,
"R4, R8",1206,2,20k,
R5,1206,1,49.9k,
R6,1206,1,10k,
R7,1206,1,1k,
U1,MP8007GVZ,1,MP8007,
U2,POE70P12LD,1,POE70P-12L,
